PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
38623432,90621,195500,2000,2,1,3,1947,1207
38623433,90621,120000,1995,4,1,2,1947,929
38623434,90621,160000,1991,1,1,2,1947,914
38623435,90621,167500,1992,2,1,2,1947,929
38623435,90621,100000,1997,3,1,2,1947,929
38623435,90621,400000,2004,2,1,2,1947,929
38623438,90621,42000,1995,2,3,3,1996,1565
38623438,90621,184000,1996,2,3,3,1996,1565
38623438,90621,212000,2007,2,3,3,1996,1565
38623440,90621,280000,2003,1,1,2,1946,919
38623442,90621,127000,1995,4,1,3,1955,872
38623443,90621,129000,1995,1,1,2,1946,916
38623443,90621,147000,1998,4,1,2,1946,916
38623443,90621,292000,2003,1,1,2,1946,916
38623443,90621,220000,2009,1,1,2,1946,916
38623444,90621,91500,1997,1,1,2,1946,916
38623444,90621,352000,2004,3,1,2,1946,916
38623445,90621,84000,2002,3,0,0,.,0
38623445,90621,390000,2003,3,0,0,.,0
38623448,90621,130000,1997,4,1,2,1946,916
38623450,90621,6000,1993,2,1,2,1946,916
38623451,90621,52000,1998,3,1,2,1946,916
38623451,90621,152000,2000,2,1,2,1946,916
38623451,90621,235000,2002,4,1,2,1946,916
38623451,90621,620000,2007,1,1,2,1946,916
38623451,90621,385000,2009,1,1,2,1946,916
38623453,90621,220000,2001,3,3,3,1946,1394
38623453,90621,347000,2003,3,3,3,1946,1394
38623453,90621,565000,2006,4,3,3,1946,1394
38623455,90621,628000,2005,3,1,2,1946,916
38623456,90621,579000,2006,1,1,2,1946,916
38623458,90621,100000,1998,2,1,2,1923,780
38623458,90621,608000,2006,3,1,2,1923,780
38623458,90621,320000,2008,3,1,2,1923,780
38623459,90621,216045,2001,3,3,3,1949,1174
38623460,90621,124000,1993,3,1,2,1951,1117
38623461,90621,455000,2005,4,1,1,1927,925
38623461,90621,125000,2009,1,1,1,1927,925
38623462,90621,155500,1995,2,3,3,1949,1353
38623462,90621,132000,1997,4,3,3,1949,1353
38623463,90621,126000,1997,2,1,2,1941,893
38623464,90621,150000,2000,4,1,1,1928,1075
38623464,90621,160000,2003,1,1,1,1928,1075
38623464,90621,628000,2004,3,1,1,1928,1075
38623466,90621,250000,2003,1,1,2,1946,911
38623467,90621,145227,1996,1,1,2,1946,1220
38623468,90621,122000,1997,1,1,2,1946,919
38623473,90621,189000,2001,3,1,2,1946,916
38623473,90621,379000,2004,2,1,2,1946,916
38623473,90621,235000,2009,1,1,2,1946,916
38623474,90621,280000,2003,4,1,3,1955,1072
38623475,90621,369000,2004,1,3,3,1957,1263
38623475,90621,489000,2004,4,3,3,1957,1263
38623476,90621,148500,1997,2,1,2,1976,1596
38623477,90621,237000,2002,2,1,2,1976,1178
38623477,90621,273000,2003,1,1,2,1976,1178
38623478,90621,375000,2003,2,1,2,1976,1122
38623479,90621,600000,2006,3,3,3,1976,1501
38623479,90621,335000,2009,1,3,3,1976,1501
38623480,90621,150000,1994,2,1,2,1976,1122
38623480,90621,247000,2002,2,1,2,1976,1122
38623480,90621,515000,2005,3,1,2,1976,1122
38623480,90621,280000,2008,4,1,2,1976,1122
38623485,90621,124000,1995,2,1,3,1946,979
38623489,90621,153500,1996,1,1,3,1928,1634
38623490,90621,325000,2005,2,1,2,1928,1384
38623490,90621,610000,2006,1,1,2,1928,1384
38623490,90621,268000,2008,3,1,2,1928,1384
38623499,90621,330000,2007,1,1,2,1950,650
38623500,90621,140000,1998,4,1,3,1937,1007
38623500,90621,480000,2006,4,1,3,1937,1007
38623501,90621,165000,1999,4,1,2,1914,615
38623505,90621,122000,1994,2,1,1,1948,484
38623505,90621,130500,1997,4,1,1,1948,484
38623507,90621,132000,1993,3,1,2,1946,976
38623507,90621,100000,1997,2,1,2,1946,976
38623507,90621,140000,2009,2,1,2,1946,976
38623514,90621,245000,2001,3,3,4,1976,1330
38623520,90621,162500,2001,3,1,2,1930,972
38623522,90621,190000,2002,4,1,3,1952,1021
38623522,90621,546000,2006,2,1,3,1952,1021
38623523,90621,90000,2000,3,1,3,1933,1297
38623523,90621,210000,2001,1,1,3,1933,1297
38623523,90621,370000,2004,1,1,3,1933,1297
38623523,90621,545000,2006,2,1,3,1933,1297
38623524,90621,170000,1999,4,1,1,1946,672
38623524,90621,293000,2003,3,1,1,1946,672
38623524,90621,350000,2004,2,1,1,1946,672
38623528,90621,167000,1996,2,1,3,1928,1096
38623529,90621,95000,1995,2,1,2,1925,780
38623530,90621,95000,1993,1,1,2,1925,666
38623531,90621,535000,2005,3,3,3,1929,1258
38623531,90621,273000,2009,2,3,3,1929,1258
38623532,90621,159000,1992,3,1,2,1928,1024
38623532,90621,196000,2001,2,1,2,1928,1024
38623532,90621,355000,2004,2,1,2,1928,1024
38623534,90621,140000,1993,3,1,2,1928,1558
38623535,90621,163000,1993,3,1,2,1928,1140
38623536,90621,245000,2002,3,1,3,1928,1406
38623537,90621,160000,1992,2,1,2,1928,1140
38623537,90621,167000,1999,2,1,2,1928,1140
38623538,90621,200000,2002,1,1,2,1928,1028
38623538,90621,430000,2007,4,1,2,1928,1028
38623539,90621,130000,1996,4,1,2,1925,624
38623540,90621,98000,1998,3,1,2,1928,1028
38623542,90621,132000,1994,4,1,3,1928,1285
38623542,90621,250000,2003,4,1,3,1928,1285
38623543,90621,138000,2000,3,1,2,1928,1091
38623543,90621,175000,2000,3,1,2,1928,1091
38623543,90621,333500,2004,1,1,2,1928,1091
38623545,90621,510000,2006,2,1,3,1903,1260
